CODE REFERENCE PHOTO,PHOTO,VILLE,CODE POSTAL,ADRESSE ,COORDONNEES GPS DU PANNEAU Y ,COORDONNEES GPS DU PANNEAU X,ANGLE DE VISIBILITE,VISIBLE EN VENANT DE,VISIBLE EN ALLANT A ,VISIBILITE,DISPONIBILITE,FORMAT,SURFACE,TYPE,SUPPORT,LARGEUR EN CM,HAUTEUR EN CM,DATE DE SIGNATURE DU BON DE COMMANDE CLIENT  ,DATE DE FIN DENGAGEMENT  DU BON DE COMMANDE  ,ANNONCEUR
244,AFFICHAGE PREMIER,BEAUMETZ LES LOGES,62123,4 ROUTE NATIONALE ,"50,23929","2,65531",90°,DOULLENS,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,,,CENTRAKOR
MAC DONALD,#VALEUR !,BEAUMETZ LES LOGES,62123,4 ROUTE NATIONALE ,"50,23929","2,65531",90°,DOULLENS,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,08/06/2022,29/04/2026,MAC DONALD ARRAS DAINVILLE
486,#VALEUR !,DAINVILLE,62000,CENTRE COMMERCIAL LECLERC ,"50,51265","2,68264",90°,C.CIAL LECLERC,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,13/11/2020,11/01/2025,CUISINE REFERENCE
,#VALEUR !,DAINVILLE,62000,CENTRE COMMERCIAL LECLERC ,"50,51265","2,68264",90°,C.CIAL LECLERC,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,12/06/2019,19/06/2025,DJN LAVAGE AUTO
LEMOINE ESPACES VERTS C.CIAL LECLERC 20250314_114004,#VALEUR !,DAINVILLE,62000,CENTRE COMMERCIAL LECLERC ,"50,51265","2,68264",90°,C.CIAL LECLERC,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,"22,11,2013","01,08,2025",LEMOINE ESPACES VERTS
487,#VALEUR !,DAINVILLE,62000,CENTRE COMMERCIAL LECLERC ,"50,51265","2,68264",90°,C.CIAL LECLERC,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,,,LETRAM
485,#VALEUR !,DAINVILLE,62000,CENTRE COMMERCIAL LECLERC  ,"50,51265","2,68264",90°,C.CIAL LECLERC,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,01/06/2023,31/05/2025,DAMBRINE
261,,ETRUN,62161,ROUTE NATIONALE RD939,"50,31159","2,69281",90°,ST POL,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,31/05/2025,30/06/2025,BUT
,#VALEUR !,ETRUN,62161,ROUTE NATIONALE RD939,"50,31097","2,69457",90°,ST POL,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,13/11/2020,11/01/2025,CUISINE REFERENCE
264,,ETRUN,62161,ROUTE NATIONALE RD939,"50,31097","2,69457",90°,ST POL,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,,,ESPRIT CARRELAGE
262,#VALEUR !,ETRUN,62161,ROUTE NATIONALE RD939,"50,31159","2,69281",90°,ST POL,ARRAS,DROITE,ND,MOBILIER URBAIN,2M2,DEROULANT,VITRINE,1220,1760,12/06/2023,12/07/2026,QUICK ARRAS
